"MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","RaceNum","Num","KettoNum","Bamei","UmaKigoCD","SexCD","TozaiCD","ChokyosiCode","ChokyosiRyakusyo","Futan","Koryu"
"20240115","2024","0121","08","01","07","10","006","2019102753","カフジエニアゴン","00","2","2","01033","木原一良","560","0",
"20240115","2024","0121","08","01","07","10","007","2018102181","コスモノアゼット","00","1","1","01109","伊藤大士","580","0",
"20240115","2024","0121","08","01","07","10","008","2019102011","サザンエルフ","00","2","1","01081","中川公成","560","0",
"20240115","2024","0121","08","01","07","10","009","2018100886","ジェットエンブレム","00","1","2","01166","石坂公一","580","0",
"20240115","2024","0121","08","01","07","10","010","2019103065","ゼットレヨン","00","1","2","01101","吉田直弘","580","0",
"20240115","2024","0121","08","01","07","10","011","2020101633","ダノンセシボン","00","2","2","01120","千田輝彦","560","0",
"20240115","2024","0121","08","01","07","10","012","2019106632","テイエムランウェイ","00","1","2","01050","飯田雄三","580","0",
"20240115","2024","0121","08","01","07","10","013","2019102522","ドグマ","00","1","2","01160","武幸四郎","580","0",
"20240115","2024","0121","08","01","07","10","014","2020106006","ドンアミティエ","00","1","2","01128","今野貞一","580","0",
"20240115","2024","0121","08","01","07","10","015","2019101975","ナムラフランク","00","1","2","01111","鈴木孝志","580","0",
"20240115","2024","0121","08","01","07","10","016","2016100507","ヒロノトウリョウ","00","1","1","01131","蛯名利弘","580","0",
"20240115","2024","0121","08","01","07","10","017","2018100623","ミラクル","00","2","2","00425","加用正","560","0",
"20240115","2024","0121","08","01","07","10","018","2018103738","ミラバーグマン","05","2","2","01148","西村真幸","560","0",
"20240115","2024","0121","08","01","07","10","019","2019100451","メルシー","00","2","2","01128","今野貞一","560","0",
"20240115","2024","0121","08","01","07","10","020","2017106295","ラインガルーダ","00","1","2","01083","松永昌博","580","0",
"20240115","2024","0121","08","01","07","10","021","2019106682","ロックユアハート","00","2","2","01075","矢作芳人","560","0",
"20240115","2024","0121","08","01","07","10","022","2016100952","ヴァリアント","00","1","2","01181","茶木太樹","580","0",
"20240115","2024","0121","08","01","07","11","001","2018100829","ウィリアムバローズ","00","1","2","01168","上村洋行","570","0",
"20240115","2024","0121","08","01","07","11","002","2015105573","エクスパートラン","00","1","2","01085","小崎憲","570","0",
"20240115","2024","0121","08","01","07","11","003","2020103308","オーロイプラータ","00","1","2","01073","宮本博","560","0",
"20240115","2024","0121","08","01","07","11","004","2020102904","オメガギネス","00","1","1","01124","大和田成","560","0",
"20240115","2024","0121","08","01","07","11","005","2020104239","キリンジ","00","1","2","00429","佐々木晶","560","0",
